ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10248254,HY435850,09/23/2015 11:04:00 PM,028XX W 40TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0921,009,14,58,08B,1158186,1877684,2015,09/30/2015 03:35:37 PM,41.820109279,-87.695217788,"(41.820109279, -87.695217788)"
10248187,HY435894,09/23/2015 11:01:00 PM,0000X W HUBBARD ST,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,SIDEWALK,true,false,1831,018,42,8,26,1175726,1903303,2015,09/30/2015 03:35:37 PM,41.890034161,-87.630103892,"(41.890034161, -87.630103892)"
10252777,HY440434,09/23/2015 11:00:00 PM,021XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,false,false,0132,001,2,33,07,,,2015,09/30/2015 03:35:37 PM,,,
10248130,HY435841,09/23/2015 11:00:00 PM,066XX S WASHTENAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0831,008,15,66,14,1159522,1860416,2015,09/30/2015 03:35:37 PM,41.77269626,-87.690790221,"(41.77269626, -87.690790221)"
10248513,HY436130,09/23/2015 11:00:00 PM,007XX S KEDZIE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1134,011,24,27,06,1155154,1896385,2015,09/30/2015 03:35:37 PM,41.871488272,-87.705839317,"(41.871488272, -87.705839317)"
10249212,HY436521,09/23/2015 11:00:00 PM,020XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,ALLEY,false,false,1432,014,32,22,06,1160033,1913656,2015,09/30/2015 03:35:37 PM,41.918782078,-87.687449244,"(41.918782078, -87.687449244)"
10248197,HY435874,09/23/2015 11:00:00 PM,038XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0213,002,3,35,14,1177829,1879564,2015,09/30/2015 03:35:37 PM,41.824845242,-87.623101964,"(41.824845242, -87.623101964)"
10249297,HY436715,09/23/2015 11:00:00 PM,026XX W PRATT BLVD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2412,024,50,2,05,1157314,1945021,2015,09/30/2015 03:35:37 PM,42.004905185,-87.696582787,"(42.004905185, -87.696582787)"
10248438,HY436111,09/23/2015 11:00:00 PM,009XX E 84TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0632,006,8,44,06,1184214,1849494,2015,09/30/2015 03:35:37 PM,41.742183317,-87.600617614,"(41.742183317, -87.600617614)"
10252695,HY440717,09/23/2015 11:00:00 PM,017XX W NORTH AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",RESIDENTIAL YARD (FRONT/BACK),false,false,1433,014,1,24,07,,,2015,09/30/2015 03:35:37 PM,,,
10248100,HY435836,09/23/2015 11:00:00 PM,033XX W CONGRESS PKWY,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1134,011,28,27,18,1154319,1897509,2015,09/30/2015 03:35:37 PM,41.874589356,-87.708874919,"(41.874589356, -87.708874919)"
10248714,HY436227,09/23/2015 11:00:00 PM,020XX S MICHIGAN AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,false,false,0132,001,2,33,04B,1177528,1890620,2015,09/30/2015 03:35:37 PM,41.855190551,-87.623871195,"(41.855190551, -87.623871195)"
10249772,HY436378,09/23/2015 11:00:00 PM,010XX W BRYN MAWR AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2022,020,48,77,07,1168139,1937368,2015,09/30/2015 03:35:37 PM,41.983677376,-87.65697959,"(41.983677376, -87.65697959)"
10248510,HY436135,09/23/2015 11:00:00 PM,052XX W MONTROSE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE-GARAGE,false,false,1624,016,38,15,07,1140681,1928754,2015,09/30/2015 03:35:37 PM,41.960590411,-87.758178951,"(41.960590411, -87.758178951)"
10249412,HY436729,09/23/2015 11:00:00 PM,073XX S HERMITAGE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0735,007,17,67,26,1165950,1856121,2015,09/30/2015 03:35:37 PM,41.760776,-87.667348735,"(41.760776, -87.667348735)"
10248213,HY435837,09/23/2015 10:55:00 PM,061XX S WABASH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0311,003,20,40,14,1177768,1864408,2015,09/30/2015 03:35:37 PM,41.783257178,-87.623784773,"(41.783257178, -87.623784773)"
10248167,HY435820,09/23/2015 10:50:00 PM,030XX E 80TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0422,004,7,46,15,1197664,1852171,2015,09/30/2015 03:35:37 PM,41.749204376,-87.551248747,"(41.749204376, -87.551248747)"
10248132,HY435824,09/23/2015 10:45:00 PM,064XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0723,007,16,68,08B,1173144,1862203,2015,09/30/2015 03:35:37 PM,41.777309867,-87.640802922,"(41.777309867, -87.640802922)"
10248102,HY435835,09/23/2015 10:45:00 PM,020XX W 69TH ST,1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,true,false,0735,007,17,67,26,1164043,1858897,2015,09/30/2015 03:35:37 PM,41.768434033,-87.674260053,"(41.768434033, -87.674260053)"
10248173,HY435842,09/23/2015 10:45:00 PM,091XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0634,006,6,49,18,1177896,1844459,2015,09/30/2015 03:35:37 PM,41.72851194,-87.623918596,"(41.72851194, -87.623918596)"
10248184,HY435879,09/23/2015 10:45:00 PM,041XX W MONROE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1115,011,28,26,18,1148886,1899341,2015,09/30/2015 03:35:37 PM,41.879723306,-87.72877531,"(41.879723306, -87.72877531)"
10248209,HY435869,09/23/2015 10:43:00 PM,044XX N BROADWAY,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1913,019,46,3,06,1168469,1929861,2015,09/30/2015 03:35:37 PM,41.963070794,-87.655984213,"(41.963070794, -87.655984213)"
10248177,HY435853,09/23/2015 10:42:00 PM,008XX W LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1914,019,46,3,14,1169767,1932083,2015,09/30/2015 03:35:37 PM,41.969139773,-87.651146917,"(41.969139773, -87.651146917)"
10248099,HY435840,09/23/2015 10:40:00 PM,004XX N CLARK ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1831,018,42,8,06,1175457,1903398,2015,09/30/2015 03:35:37 PM,41.890300892,-87.631088915,"(41.890300892, -87.631088915)"
10248305,HY436041,09/23/2015 10:39:00 PM,011XX W MONTANA ST,0810,THEFT,OVER $500,STREET,false,false,1932,019,43,7,06,1168335,1916455,2015,09/30/2015 03:35:37 PM,41.926287058,-87.656865869,"(41.926287058, -87.656865869)"
10250676,HY437952,09/23/2015 10:36:00 PM,008XX W ADDISON ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1924,019,44,6,08B,1169861,1924124,2015,09/30/2015 03:35:37 PM,41.947297957,-87.651034295,"(41.947297957, -87.651034295)"
10250400,HY437562,09/23/2015 10:31:00 PM,039XX N PINE GROVE AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1925,019,46,6,06,1170693,1926442,2015,09/30/2015 03:35:37 PM,41.953640416,-87.647907964,"(41.953640416, -87.647907964)"
10250565,HY437832,09/23/2015 10:30:00 PM,041XX N KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,1722,017,39,16,14,1148105,1927216,2015,09/30/2015 03:35:37 PM,41.956230039,-87.73092409,"(41.956230039, -87.73092409)"
